,h,dt,ndof,l2u,h1u
0,0.5,0.5,118.0,1.4992697170272593,6.203095162142456
1,0.25,0.25,421.0,0.5472265055910568,3.172749947994666
2,0.125,0.125,1898.0,0.15467900635115817,1.6309766715984217
3,0.0625,0.0625,7724.0,0.04452770808006927,0.8472934569361739
4,0.03125,0.03125,30845.0,0.011619099257858537,0.424384018175649
