,h,dt,ndof,l2u,h1u
0,0.5,0.5,118.0,,
1,0.25,0.25,421.0,0.10355984128078408,0.6691230510276305
2,0.125,0.125,1898.0,0.024639213732793038,0.33411091072896587
3,0.0625,0.0625,7724.0,0.010074128726373265,0.1672322895773753
4,0.03125,0.03125,30845.0,0.00533431538920712,0.08713575768994071
